year,scope,cohort,count,median_column_distance,avg_column_distance,p25_column_distance,p75_column_distance,p90_column_distance,pct_column_distance_1,pct_column_distance_lte_2,pct_column_distance_lte_3,median_time_distance_ms,avg_time_distance_ms,p90_time_distance_ms
2024,2024,ALL,0,,,,,,,,,,,
2024,2024,SYM_0_90_1_10,0,,,,,,,,,,,
2024,2024,EXT_1_20_1_35,0,,,,,,,,,,,
2024,2024,EXT_1_55_1_70,0,,,,,,,,,,,
2024,2024,OTHER,0,,,,,,,,,,,
2025,2025,ALL,0,,,,,,,,,,,
2025,2025,SYM_0_90_1_10,0,,,,,,,,,,,
2025,2025,EXT_1_20_1_35,0,,,,,,,,,,,
2025,2025,EXT_1_55_1_70,0,,,,,,,,,,,
2025,2025,OTHER,0,,,,,,,,,,,
2026,2026,ALL,0,,,,,,,,,,,
2026,2026,SYM_0_90_1_10,0,,,,,,,,,,,
2026,2026,EXT_1_20_1_35,0,,,,,,,,,,,
2026,2026,EXT_1_55_1_70,0,,,,,,,,,,,
2026,2026,OTHER,0,,,,,,,,,,,
