harmonic_level,rank_stddev,frequency_stddev,enrichment_stddev,consistency_score
0.236,7.5,0.1,6.9291338583,0.0510597302506
0.382,6.5,0.1,2.22222222222,0.0328054298642
1,7,0.0666666666665,1.6029143898,0.0179457232917
0.707,5.5,0.0333333333334,1.16402116402,0.00937127669325
1.13,4.5,0.0333333333334,0.72427983539,0.00918497084484
1.618,3.5,0.0333333333334,0.333712552143,0.00913430572005
2.618,3,0.0333333333334,0.126819426431,0.00902867027167
1.27,5,0.0333333333334,0.688575899845,0.00837349350842
2,4,0.0333333333334,0.314397999285,0.00819286982045
0.618,6,0.0333333333334,0.94471282877,0.00812526772118
0.5,2.5,0,0,0
0.786,2,0,0,0
0.886,1.5,0,0,0
1.414,1,0,0,0
2.24,0.5,0,0,0
