harmonic_level,present_2024,present_2025,present_2026,present_all_years,best_rank,worst_rank,average_rank
0.236,False,False,True,False,1,1,1
0.382,False,False,True,False,3,3,3
0.5,False,False,False,False,,,
0.618,False,False,True,False,4,4,4
0.707,False,False,True,False,5,5,5
0.786,False,False,False,False,,,
0.886,False,False,False,False,,,
1,False,False,True,False,2,2,2
1.13,False,False,True,False,7,7,7
1.27,False,False,True,False,6,6,6
1.414,False,False,False,False,,,
1.618,False,False,True,False,9,9,9
2,False,False,True,False,8,8,8
2.24,False,False,False,False,,,
2.618,False,False,True,False,10,10,10
