harmonic_level,count,percentage,average_distance,median_distance,cluster_strength_score
0.236,3,20,0.034707070707,0.036727272727,11.8202173882
0.382,3,20,0.0268042328043,0.024857142857,2.81252768315
0.5,0,0,,,0
0.618,1,6.66666666667,0.018,0.018,1.31299071117
0.707,1,6.66666666667,0.0195,0.0195,1.30788894834
0.786,0,0,,,0
0.886,0,0,,,0
1,2,13.3333333333,0,0,3.2058287796
1.13,1,6.66666666667,0.03666666667,0.03666666667,0.689790319351
1.27,1,6.66666666667,0.02,0.02,0.994609633107
1.414,0,0,,,0
1.618,1,6.66666666667,0.04657142857,0.04657142857,0.504687195541
2,1,6.66666666667,0,0,0.628795998571
2.24,0,0,,,0
2.618,1,6.66666666667,0.582,0.582,0
