symbol,harmonic_level,count,percentage_within_symbol,average_distance,median_distance,symbol_rank
BTC,0.236,3,33.3333333333,0.034707070707,0.036727272727,1
BTC,0.382,1,11.1111111111,0.006888888889,0.006888888889,2
BTC,0.5,0,0,,,
BTC,0.618,0,0,,,
BTC,0.707,1,11.1111111111,0.0195,0.0195,3
BTC,0.786,0,0,,,
BTC,0.886,0,0,,,
BTC,1,1,11.1111111111,0,0,4
BTC,1.13,0,0,,,
BTC,1.27,0,0,,,
BTC,1.414,0,0,,,
BTC,1.618,1,11.1111111111,0.04657142857,0.04657142857,5
BTC,2,1,11.1111111111,0,0,6
BTC,2.24,0,0,,,
BTC,2.618,1,11.1111111111,0.582,0.582,7
ETH,0.236,0,0,,,
ETH,0.382,1,33.3333333333,0.048666666667,0.048666666667,1
ETH,0.5,0,0,,,
ETH,0.618,0,0,,,
ETH,0.707,0,0,,,
ETH,0.786,0,0,,,
ETH,0.886,0,0,,,
ETH,1,1,33.3333333333,0,0,2
ETH,1.13,0,0,,,
ETH,1.27,1,33.3333333333,0.02,0.02,3
ETH,1.414,0,0,,,
ETH,1.618,0,0,,,
ETH,2,0,0,,,
ETH,2.24,0,0,,,
ETH,2.618,0,0,,,
SOL,0.236,0,0,,,
SOL,0.382,1,33.3333333333,0.024857142857,0.024857142857,1
SOL,0.5,0,0,,,
SOL,0.618,1,33.3333333333,0.018,0.018,2
SOL,0.707,0,0,,,
SOL,0.786,0,0,,,
SOL,0.886,0,0,,,
SOL,1,0,0,,,
SOL,1.13,1,33.3333333333,0.03666666667,0.03666666667,3
SOL,1.27,0,0,,,
SOL,1.414,0,0,,,
SOL,1.618,0,0,,,
SOL,2,0,0,,,
SOL,2.24,0,0,,,
SOL,2.618,0,0,,,
